RECNO,REGION,FIELD,SQL_ORDER,SQL_NAME,SQL_SYNTAX,EASY_NAME,Edited,Comments
59,NWBOR,LGDS,1002,S,"(LGFU='PWDOM' AND AGE>=10 AND AGE<=19) OR 
(LGFU='PRDOM' AND AGE>=10 AND AGE<=19) OR 
(LGFU='PRWMX' AND AGE>=10 AND AGE<=19) OR 
(LGFU='OCLOW' AND AGE>=10 AND AGE<=29) OR 
(LGFU='SBLOW' AND AGE>=10 AND AGE<=29) OR 
(LGFU='SBDOM' AND AGE>=10 AND AGE<=29) OR 
(LGFU='PJDOM' AND AGE>=10 AND AGE<=29) OR 
(LGFU='PODOM' AND AGE>=5 AND AGE<=9) OR 
(LGFU='BWDOM' AND AGE>=5 AND AGE<=9) OR 
(LGFU='OTHHD' AND AGE>=5 AND AGE<=9) OR 
(LGFU='SBMX1' AND AGE>=10 AND AGE<=29) OR 
(LGFU='PJMX1' AND AGE>=10 AND AGE<=29) OR 
(LGFU='BFDOM' AND AGE>=5 AND AGE<=9) OR 
(LGFU='CONMX' AND AGE>=10 AND AGE<=29) OR 
(LGFU='HRDOM' AND AGE>=5 AND AGE<=9) OR 
(LGFU='HRDMX' AND AGE>=5 AND AGE<=9)",,,
75,NWBOR,LGDS,1003,I,"(LGFU='PWDOM' AND AGE>=20 AND AGE<=79) OR
(LGFU='PRDOM' AND AGE>=20 AND AGE<=79) OR
(LGFU='PRWMX' AND AGE>=20 AND AGE<=79) OR
(LGFU='OCLOW' AND AGE>=30 AND AGE<=69) OR
(LGFU='SBLOW' AND AGE>=30 AND AGE<=69) OR
(LGFU='SBDOM' AND AGE>=30 AND AGE<=69) OR
(LGFU='PJDOM' AND AGE>=30 AND AGE<=69) OR
(LGFU='PODOM' AND AGE>=10 AND AGE<=59) OR
(LGFU='BWDOM' AND AGE>=10 AND AGE<=49) OR
(LGFU='OTHHD' AND AGE>=10 AND AGE<=59) OR
(LGFU='SBMX1' AND AGE>=30 AND AGE<=69) OR
(LGFU='PJMX1' AND AGE>=30 AND AGE<=69) OR
(LGFU='BFDOM' AND AGE>=10 AND AGE<=59) OR
(LGFU='CONMX' AND AGE>=30 AND AGE<=69) OR
(LGFU='HRDOM' AND AGE>=10 AND AGE<=59) OR
(LGFU='HRDMX' AND AGE>=10 AND AGE<=59)",,,
91,NWBOR,LGDS,1004,M,"(LGFU='PWDOM' AND AGE>=80 AND AGE<=129) OR
(LGFU='PRDOM' AND AGE>=80 AND AGE<=149) OR
(LGFU='PRWMX' AND AGE>=80 AND AGE<=139) OR
(LGFU='OCLOW' AND AGE>=70 AND AGE<=119) OR
(LGFU='SBLOW' AND AGE>=70 AND AGE<=159) OR
(LGFU='SbDom' AND AGE>=70 AND AGE<=119) OR
(LGFU='PJDom' AND AGE>=70 AND AGE<=99) OR
(LGFU='PODom' AND AGE>=60 AND AGE<=99) OR
(LGFU='BWDOM' AND AGE>=50 AND AGE<=109) OR
(LGFU='OTHHD' AND AGE>=60 AND AGE<=99) OR
(LGFU='SBMX1' AND AGE>=70 AND AGE<=109) OR
(LGFU='PJMX1' AND AGE>=70 AND AGE<=99) OR
(LGFU='BFDOM' AND AGE>=60 AND AGE<=79) OR
(LGFU='CONMX' AND AGE>=70 AND AGE<=109) OR
(LGFU='HRDOM' AND AGE>=60 AND AGE<=99) OR
(LGFU='HRDMX' AND AGE>=60 AND AGE<=109)",,,
107,NWBOR,LGDS,1005,L,"(LGFU='PWDOM' AND AGE>129) OR
(LGFU='PRDOM' AND AGE>149) OR
(LGFU='PRWMX' AND AGE>139) OR
(LGFU='OCLOW' AND AGE>119) OR
(LGFU='SBLOW' AND AGE>159) OR
(LGFU='SBDOM' AND AGE>119) OR
(LGFU='PJDOM' AND AGE>99) OR
(LGFU='PODOM' AND AGE>99) OR
(LGFU='BWDOM' AND AGE>109) OR
(LGFU='OTHHD' AND AGE>99) OR
(LGFU='SBMX1' AND AGE>109) OR
(LGFU='PJMX1' AND AGE>99) OR
(LGFU='BFDOM' AND AGE>79) OR
(LGFU='CONMX' AND AGE>109) OR
(LGFU='HRDOM' AND AGE>99) OR
(LGFU='HRDMX' AND AGE>109)",,,
29,NWBOR,LGFU,1,PRWMX,SFU = 'PWDOM' or SFU = 'PRDOM' or SFU = 'PRWMX',,,
30,NWBOR,LGFU,2,OCLOW,SFU = 'OCLOW',,,
31,NWBOR,LGFU,3,SBLOW,SFU = 'SBLOW',,,
32,NWBOR,LGFU,4,SBDOM,SFU = 'SBSHA' or SFU = 'SBDEE',,,
33,NWBOR,LGFU,5,PJDOM,SFU = 'PJSHA' or SFU = 'PJDEE',,,
34,NWBOR,LGFU,6,PODOM,SFU = 'POSHA' or SFU = 'PODEE',,,
35,NWBOR,LGFU,7,BWDOM,SFU = 'BWSHA' or SFU = 'BWDEE',,,
36,NWBOR,LGFU,8,OTHHD,SFU = 'OTHHD',,,
37,NWBOR,LGFU,9,SBMX1,SFU = 'SBMX1',,,
38,NWBOR,LGFU,10,PJMX1,SFU = 'PJMX1',,,
39,NWBOR,LGFU,11,BFDOM,SFU = 'BFPUR' or SFU = 'BFMX1',,,
40,NWBOR,LGFU,12,HRDOM,SFU = 'HRDOM',,,
41,NWBOR,LGFU,13,HRDMX,SFU = 'HRDMW',,,
42,NWBOR,LGFU,14,CONMX,SFU = 'CONMX' or SFU = 'UPLCE',,,
135,NWBOR,PFT,1,PWR,SFU='PWDOM' or SFU='PRDOM' or SFU='PRWMX',,,
136,NWBOR,PFT,2,PJK,SFU='PJSHA' or SFU='PJDEE',,,
137,NWBOR,PFT,3,MCU,SFU='UPLCE' or SFU='SBSHA' or SFU='SBDEE' or SFU='SBMX1' or SFU='PJMX1' or SFU='BFPUR' or SFU='BFMX1',,,
138,NWBOR,PFT,4,MCL,SFU='SBLOW' or SFU='OCLOW',,,
139,NWBOR,PFT,5,MIX,SFU='HRDMW' or SFU='CONMX' or SFU='HRDOM',,,
140,NWBOR,PFT,6,POP,SFU='POSHA' or SFU='PODEE',,,
141,NWBOR,PFT,7,BWT,SFU='BWSHA' or SFU='BWDEE',,,
142,NWBOR,PFT,8,TOL,SFU='OTHHD',,,
6,NWBOR,SFU,1,PWDOM,(Pw>=40),,,confirmed with G. Beemer's SQL
7,NWBOR,SFU,2,PRDOM,(Pr >= 70),,,confirmed with G. Beemer's SQL
8,NWBOR,SFU,3,PRWMX,(Pw + Pr >= 40),,,confirmed with G. Beemer's SQL
9,NWBOR,SFU,4,UPLCE,(Ce >= 20 And EcoGrp = 'UplCe') Or ((Ce >= 40 And Bf <= 10 And (Pr + Pw + Pj + Sw + Bf + PO+PT+PL) >= 20 And AllCon >= 70) And (EcoGrp <> 'ConLow')),,,confirmed with G. Beemer's SQL
10,NWBOR,SFU,5,OCLOW,"(Ce + La >= 50 Or LEADSPC in ('CE','LA','CW')) And EcoGrp = 'ConLow'",,originally (Ce + La >= 50 Or (LeadSpc = 'Ce' or LeadSpc = 'La')) And EcoGrp = 'ConLow',revised with G. Beemer's SQL
11,NWBOR,SFU,6,SBLOW,(EcoGrp = 'ConLow') Or (EcoGrp = 'HwdLow' And AllCon > AllHwd),,,
